time_iso8601,stars_cumulative
2022-06-23 00:00:00+00:00,2
2022-06-29 00:00:00+00:00,3
2022-07-11 00:00:00+00:00,4
2022-11-08 00:00:00+00:00,5
2023-04-14 00:00:00+00:00,6
2023-04-18 00:00:00+00:00,7
2023-05-01 00:00:00+00:00,8
2023-06-22 00:00:00+00:00,9
2023-06-27 00:00:00+00:00,10
2023-07-06 00:00:00+00:00,11
2023-08-21 00:00:00+00:00,12
2023-10-16 00:00:00+00:00,13
2023-10-27 00:00:00+00:00,14
2023-11-02 00:00:00+00:00,15
2023-12-21 00:00:00+00:00,16
2024-01-17 00:00:00+00:00,17
2024-01-25 00:00:00+00:00,18
