time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-08 00:00:00+00:00,0,0,2,2
2024-01-09 00:00:00+00:00,6,2,4,2
2024-01-10 00:00:00+00:00,5,4,28,7
2024-01-11 00:00:00+00:00,3,1,81,9
2024-01-12 00:00:00+00:00,7,3,10,6
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-14 00:00:00+00:00,0,0,1,1
2024-01-15 00:00:00+00:00,1,1,5,4
2024-01-16 00:00:00+00:00,2,2,40,6
2024-01-17 00:00:00+00:00,3,2,19,9
2024-01-18 00:00:00+00:00,4,4,97,7
2024-01-19 00:00:00+00:00,9,6,82,9
2024-01-20 00:00:00+00:00,0,0,5,3
2024-01-21 00:00:00+00:00,1,1,45,8
2024-01-22 00:00:00+00:00,14,12,123,8
2024-01-23 00:00:00+00:00,6,6,79,10
2024-01-24 00:00:00+00:00,27,18,143,17
2024-01-25 00:00:00+00:00,5,5,55,9
2024-01-26 00:00:00+00:00,2,1,51,8
